assetId,itemId,label,acquiredTs,active
ALQ-ITM-0011-001,ITM-0011,Obeng set #1,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0011-002,ITM-0011,Obeng set #2,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0012-001,ITM-0012,Tangga lipat #1,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0012-002,ITM-0012,Tangga lipat #2,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0013-001,ITM-0013,Pisau potong #1,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0013-002,ITM-0013,Pisau potong #2,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0013-003,ITM-0013,Pisau potong #3,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0013-004,ITM-0013,Pisau potong #4,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0013-005,ITM-0013,Pisau potong #5,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0013-006,ITM-0013,Pisau potong #6,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0013-007,ITM-0013,Pisau potong #7,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0013-008,ITM-0013,Pisau potong #8,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0013-009,ITM-0013,Pisau potong #9,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0013-010,ITM-0013,Pisau potong #10,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0013-011,ITM-0013,Pisau potong #11,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0013-012,ITM-0013,Pisau potong #12,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0017-001,ITM-0017,Timbangan gantung #1,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0017-002,ITM-0017,Timbangan gantung #2,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0027-001,ITM-0027,Speaker aktif #1,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0027-002,ITM-0027,Speaker aktif #2,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0027-003,ITM-0027,Speaker aktif #3,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0027-004,ITM-0027,Speaker aktif #4,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0028-001,ITM-0028,Mikrofon #1,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0028-002,ITM-0028,Mikrofon #2,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0028-003,ITM-0028,Mikrofon #3,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0034-001,ITM-0034,Palu #1,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0034-002,ITM-0034,Palu #2,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0034-003,ITM-0034,Palu #3,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0035-001,ITM-0035,Gergaji #1,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0035-002,ITM-0035,Gergaji #2,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0039-001,ITM-0039,Senter #1,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0039-002,ITM-0039,Senter #2,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0039-003,ITM-0039,Senter #3,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0039-004,ITM-0039,Senter #4,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0041-001,ITM-0041,Cooler box #1,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0041-002,ITM-0041,Cooler box #2,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0041-003,ITM-0041,Cooler box #3,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0041-004,ITM-0041,Cooler box #4,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0044-001,ITM-0044,Asahan pisau #1,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0044-002,ITM-0044,Asahan pisau #2,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0044-003,ITM-0044,Asahan pisau #3,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0047-001,ITM-0047,Kompor besar #1,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0047-002,ITM-0047,Kompor besar #2,2026-09-08T00:46:25.110Z,TRUE
ALQ-ITM-0050-001,ITM-0050,Papan pengumuman #1,2026-09-08T00:46:25.110Z,TRUE
